iter	Passed	Remaining
931	16147	1178
932	16158	1160
933	16177	1143
934	16190	1125
935	16202	1107
936	16214	1090
937	16228	1072
938	16239	1054
939	16250	1037
940	16264	1019
941	16275	1002
942	16290	984
943	16309	967
944	16322	949
945	16334	932
946	16347	914
947	16358	897
948	16375	880
949	16392	862
950	16407	845
951	16428	828
952	16443	810
953	16465	793
954	16481	776
955	16498	759
956	16510	741
957	16522	724
958	16538	707
959	16549	689
960	16559	672
961	16570	654
962	16589	637
963	16599	619
964	16612	602
965	16623	585
966	16633	567
967	16644	550
968	16657	532
969	16671	515
970	16693	498
971	16712	481
972	16730	464
973	16746	447
974	16757	429
975	16775	412
976	16791	395
977	16807	378
978	16824	360
979	16839	343
980	16858	326
981	16877	309
982	16896	292
983	16913	275
984	16939	257
985	16965	240
986	16981	223
987	17002	206
988	17022	189
989	17044	172
990	17067	155
991	17082	137
992	17098	120
993	17119	103
994	17135	86
995	17158	68
996	17175	51
997	17191	34
998	17206	17
999	17225	0
